accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
-0.481445313,0.705566406,0.362304688,11.59667969,44.85321045,8.04901123,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.489746094,0.700195313,0.354980469,12.22991943,36.1328125,9.033203125,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.523925781,0.698242188,0.340332031,12.37487793,28.07617188,10.43701172,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.573730469,0.686035156,0.328613281,12.71057129,23.44512939,10.13946533,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.606445313,0.692871094,0.319335938,12.10784912,20.85113525,9.658813477,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.62109375,0.69140625,0.316894531,11.27624512,21.49200439,8.903503418,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.617675781,0.690917969,0.330566406,10.39886475,22.44567871,8.331298828,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.590820313,0.682617188,0.340332031,9.086608887,22.23205566,8.293151855,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.58984375,0.677246094,0.349609375,8.865356445,23.21624756,8.483886719,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.559082031,0.67578125,0.374511719,8.575439453,18.53942871,9.780883789,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.547851563,0.682617188,0.3828125,8.186340332,13.19885254,11.84082031,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.530761719,0.680664063,0.397949219,7.316589355,6.362915039,13.54217529,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.53515625,0.697265625,0.399414063,6.523132324,0.72479248,15.15960693,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.558105469,0.7109375,0.387695313,6.065368652,-3.044128418,16.76177979,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.58203125,0.730957031,0.373046875,5.836486816,-4.425048828,18.09692383,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.592285156,0.736328125,0.368652344,5.973815918,-4.081726074,19.08874512,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.595214844,0.745117188,0.368652344,6.09588623,-2.426147461,19.26422119,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.616699219,0.748535156,0.355957031,6.088256836,0.770568848,18.62335205,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.609375,0.757324219,0.362792969,6.065368652,3.044128418,18.31817627,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.594238281,0.763183594,0.372070313,6.248474121,5.62286377,17.98248291,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:28 GMT-0500 (EST)
-0.583007813,0.764648438,0.379882813,6.446838379,7.987976074,17.76123047,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.575683594,0.757324219,0.37890625,6.774902344,10.49041748,17.68493652,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.567871094,0.752441406,0.395019531,6.950378418,11.81793213,17.89855957,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.555175781,0.751953125,0.396484375,7.743835449,12.98522949,18.5546875,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.548339844,0.747558594,0.402832031,8.514404297,12.24517822,19.99664307,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.532226563,0.750488281,0.405273438,9.590148926,10.67352295,21.61407471,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.453125,0.732910156,0.478515625,-9.52911377,3.936767578,-8.476257324,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.466796875,0.726074219,0.475585938,-9.346008301,3.09753418,-8.193969727,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.478515625,0.724121094,0.474609375,-9.925842285,4.112243652,-8.110046387,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.483886719,0.728515625,0.470703125,-10.63537598,5.424499512,-7.423400879,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.489257813,0.754882813,0.462402344,-10.94818115,6.843566895,-7.263183594,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.492675781,0.767578125,0.45703125,-10.84136963,8.583068848,-7.095336914,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.490722656,0.767578125,0.460449219,-10.28442383,10.56671143,-7.064819336,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.474121094,0.762207031,0.467285156,-9.407043457,12.43591309,-7.598876953,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.459960938,0.760253906,0.471679688,-8.995056152,13.89312744,-7.759094238,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.447265625,0.752441406,0.480957031,-8.316040039,15.01464844,-8.483886719,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.450683594,0.765136719,0.495117188,-8.06427002,15.15960693,-8.331298828,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.450195313,0.765625,0.480957031,-7.637023926,16.53289795,-8.316040039,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.443847656,0.788574219,0.468261719,-6.774902344,16.11328125,-6.690979004,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.468261719,0.801269531,0.453613281,-5.767822266,16.47949219,-6.019592285,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.502441406,0.796386719,0.452148438,-4.577636719,17.49420166,-5.409240723,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.493164063,0.789550781,0.453125,-3.486633301,19.69909668,-4.722595215,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.490234375,0.783691406,0.452148438,-2.479553223,22.13287354,-4.302978516,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.485351563,0.776855469,0.454101563,-1.579284668,25.21514893,-3.837585449,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.468261719,0.776855469,0.474121094,-0.518798828,26.51977539,-2.60925293,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.439941406,0.775878906,0.475097656,0.854492188,26.80206299,-1.846313477,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.405273438,0.7734375,0.478027344,2.029418945,24.21569824,-0.671386719,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.405761719,0.762695313,0.474121094,2.952575684,21.67510986,-0.068664551,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.397949219,0.760742188,0.463378906,3.562927246,18.67675781,0.694274902,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.407226563,0.756347656,0.473632813,3.631591797,16.29638672,0.65612793,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.414550781,0.743164063,0.465332031,3.791809082,15.28930664,0.511169434,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.429199219,0.740234375,0.457519531,3.395080566,15.7623291,0.671386719,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.439941406,0.736816406,0.450683594,2.494812012,16.1895752,-0.045776367,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.428710938,0.7421875,0.447265625,1.899719238,16.63970947,-0.518798828,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.415527344,0.75,0.467773438,1.129150391,15.59448242,-0.9765625,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.403320313,0.73046875,0.463378906,0.923156738,14.21356201,-0.465393066,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.390625,0.735351563,0.4765625,0.144958496,10.35308838,-0.160217285,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
-0.394042969,0.726074219,0.478027344,-0.450134277,7.00378418,0.267028809,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:29 GMT-0500 (EST)
